  
       XFOIL         Version 6.99
  
 Calculated polar for: r/R  , c/D  , t/D     , P/D                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.000   1.7507   0.00000   0.50955  -0.5687   0.0000   0.0000
  -7.500   1.7313   0.00000   0.51436  -0.5638   0.0000   0.0000
  -7.000   1.7116   0.00000   0.51881  -0.5586   0.0000   0.0000
  -6.500   1.6914   0.00000   0.52290  -0.5534   0.0000   0.0000
  -6.000   1.6709   0.00000   0.52663  -0.5480   0.0000   0.0000
  -5.500   1.6499   0.00000   0.52997  -0.5425   0.0000   0.0000
  -5.000   1.6286   0.00000   0.53294  -0.5368   0.0000   0.0000
  -4.500   1.6070   0.00000   0.53551  -0.5310   0.0000   0.0000
  -4.000   1.5850   0.00000   0.53769  -0.5250   0.0000   0.0000
  -3.500   1.5627   0.00000   0.53947  -0.5189   0.0000   0.0000
  -3.000   1.5401   0.00000   0.54085  -0.5127   0.0000   0.0000
  -2.500   1.5171   0.00000   0.54181  -0.5064   0.0000   0.0000
  -2.000   1.4939   0.00000   0.54235  -0.4999   0.0000   0.0000
  -1.500   1.4704   0.00000   0.54248  -0.4933   0.0000   0.0000
  -1.000   1.4466   0.00000   0.54218  -0.4866   0.0000   0.0000
  -0.500   1.4225   0.00000   0.54145  -0.4798   0.0000   0.0000
   0.000   1.3982   0.00000   0.54028  -0.4729   0.0000   0.0000
   0.500   1.3737   0.00000   0.53868  -0.4658   0.0000   0.0000
   1.000   1.3489   0.00000   0.53664  -0.4586   0.0000   0.0000
   1.500   1.3239   0.00000   0.53416  -0.4513   0.0000   0.0000
   2.000   1.2987   0.00000   0.53123  -0.4439   0.0000   0.0000
   2.500   1.2733   0.00000   0.52785  -0.4364   0.0000   0.0000
   3.000   1.2478   0.00000   0.52403  -0.4288   0.0000   0.0000
   3.500   1.2221   0.00000   0.51975  -0.4210   0.0000   0.0000
   4.000   1.1962   0.00000   0.51502  -0.4132   0.0000   0.0000
   4.500   1.1702   0.00000   0.50983  -0.4053   0.0000   0.0000
   5.000   1.1441   0.00000   0.50419  -0.3973   0.0000   0.0000
   5.500   1.1178   0.00000   0.49810  -0.3892   0.0000   0.0000
   6.000   1.0915   0.00000   0.49155  -0.3810   0.0000   0.0000
   6.500   1.0651   0.00000   0.48455  -0.3727   0.0000   0.0000
   7.000   1.0386   0.00000   0.47710  -0.3643   0.0000   0.0000
   7.500   1.0120   0.00000   0.46919  -0.3558   0.0000   0.0000
   8.000   0.9854   0.00000   0.46083  -0.3473   0.0000   0.0000
