  
       XFOIL         Version 6.99
  
 Calculated polar for: foil_profile_rR0.450.txt                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -8.000  -0.6684   0.00000  -0.01489  -0.0383   0.0000   0.0000
  -7.500  -0.6109   0.00000  -0.01364  -0.0391   0.0000   0.0000
  -7.000  -0.5534   0.00000  -0.01245  -0.0400   0.0000   0.0000
  -6.500  -0.4959   0.00000  -0.01135  -0.0408   0.0000   0.0000
  -6.000  -0.4383   0.00000  -0.01031  -0.0416   0.0000   0.0000
  -5.500  -0.3807   0.00000  -0.00935  -0.0424   0.0000   0.0000
  -5.000  -0.3231   0.00000  -0.00846  -0.0433   0.0000   0.0000
  -4.500  -0.2655   0.00000  -0.00765  -0.0441   0.0000   0.0000
  -4.000  -0.2078   0.00000  -0.00691  -0.0450   0.0000   0.0000
  -3.500  -0.1501   0.00000  -0.00624  -0.0458   0.0000   0.0000
  -3.000  -0.0924   0.00000  -0.00565  -0.0467   0.0000   0.0000
  -2.500  -0.0347   0.00000  -0.00513  -0.0475   0.0000   0.0000
  -2.000   0.0230   0.00000  -0.00469  -0.0484   0.0000   0.0000
  -1.500   0.0807   0.00000  -0.00432  -0.0493   0.0000   0.0000
  -1.000   0.1385   0.00000  -0.00403  -0.0501   0.0000   0.0000
  -0.500   0.1962   0.00000  -0.00380  -0.0510   0.0000   0.0000
   0.000   0.2539   0.00000  -0.00365  -0.0519   0.0000   0.0000
   0.500   0.3116   0.00000  -0.00358  -0.0528   0.0000   0.0000
   1.000   0.3694   0.00000  -0.00357  -0.0536   0.0000   0.0000
   1.500   0.4271   0.00000  -0.00364  -0.0545   0.0000   0.0000
   2.000   0.4848   0.00000  -0.00378  -0.0554   0.0000   0.0000
   2.500   0.5425   0.00000  -0.00399  -0.0563   0.0000   0.0000
   3.000   0.6002   0.00000  -0.00426  -0.0572   0.0000   0.0000
   3.500   0.6578   0.00000  -0.00461  -0.0581   0.0000   0.0000
   4.000   0.7155   0.00000  -0.00502  -0.0589   0.0000   0.0000
   4.500   0.7731   0.00000  -0.00551  -0.0598   0.0000   0.0000
   5.000   0.8307   0.00000  -0.00606  -0.0607   0.0000   0.0000
   5.500   0.8882   0.00000  -0.00667  -0.0616   0.0000   0.0000
   6.000   0.9458   0.00000  -0.00735  -0.0625   0.0000   0.0000
   6.500   1.0033   0.00000  -0.00809  -0.0634   0.0000   0.0000
   7.000   1.0607   0.00000  -0.00889  -0.0642   0.0000   0.0000
   7.500   1.1181   0.00000  -0.00976  -0.0651   0.0000   0.0000
   8.000   1.1755   0.00000  -0.01069  -0.0660   0.0000   0.0000
