Open water data, Wageningen B-series, P/D = 1.10, BAR = 0.65 and Z = 4.
J    , Kt    , Kq     , Eta   
0.400, 0.3590, 0.05878, 0.3888
0.410, 0.3551, 0.05822, 0.3980
0.420, 0.3511, 0.05764, 0.4071
0.430, 0.3471, 0.05706, 0.4162
0.440, 0.3430, 0.05648, 0.4253
0.450, 0.3390, 0.05589, 0.4343
0.460, 0.3349, 0.05530, 0.4433
0.470, 0.3307, 0.05471, 0.4522
0.480, 0.3266, 0.05411, 0.4611
0.490, 0.3224, 0.05350, 0.4700
0.500, 0.3182, 0.05289, 0.4788
0.510, 0.3140, 0.05228, 0.4875
0.520, 0.3098, 0.05166, 0.4962
0.530, 0.3055, 0.05104, 0.5049
0.540, 0.3012, 0.05041, 0.5135
0.550, 0.2969, 0.04978, 0.5220
0.560, 0.2926, 0.04915, 0.5305
0.570, 0.2882, 0.04851, 0.5390
0.580, 0.2838, 0.04787, 0.5474
0.590, 0.2794, 0.04722, 0.5557
0.600, 0.2750, 0.04657, 0.5639
0.610, 0.2706, 0.04591, 0.5721
0.620, 0.2661, 0.04525, 0.5803
0.630, 0.2617, 0.04459, 0.5884
0.640, 0.2572, 0.04392, 0.5964
0.650, 0.2527, 0.04325, 0.6043
0.660, 0.2481, 0.04258, 0.6122
0.670, 0.2436, 0.04190, 0.6199
0.680, 0.2390, 0.04122, 0.6276
0.690, 0.2345, 0.04053, 0.6353
0.700, 0.2299, 0.03984, 0.6428
0.710, 0.2253, 0.03915, 0.6502
0.720, 0.2207, 0.03845, 0.6576
0.730, 0.2160, 0.03775, 0.6649
0.740, 0.2114, 0.03705, 0.6720
0.750, 0.2067, 0.03634, 0.6791
0.760, 0.2021, 0.03563, 0.6860
0.770, 0.1974, 0.03492, 0.6928
0.780, 0.1927, 0.03420, 0.6995
0.790, 0.1880, 0.03348, 0.7061
0.800, 0.1833, 0.03275, 0.7126
0.810, 0.1786, 0.03202, 0.7189
0.820, 0.1738, 0.03129, 0.7250
0.830, 0.1691, 0.03056, 0.7310
0.840, 0.1643, 0.02982, 0.7368
0.850, 0.1596, 0.02908, 0.7425
0.860, 0.1548, 0.02833, 0.7479
0.870, 0.1500, 0.02758, 0.7531
0.880, 0.1452, 0.02683, 0.7581
0.890, 0.1405, 0.02608, 0.7629
0.900, 0.1357, 0.02532, 0.7674
0.910, 0.1309, 0.02456, 0.7717
0.920, 0.1260, 0.02380, 0.7756
0.930, 0.1212, 0.02303, 0.7792
0.940, 0.1164, 0.02226, 0.7824
0.950, 0.1116, 0.02149, 0.7853
0.960, 0.1068, 0.02071, 0.7876
0.970, 0.1019, 0.01993, 0.7895
0.980, 0.0971, 0.01915, 0.7909
0.990, 0.0923, 0.01837, 0.7916
1.000, 0.0874, 0.01758, 0.7916
1.010, 0.0826, 0.01679, 0.7908
1.020, 0.0778, 0.01600, 0.7891
1.030, 0.0729, 0.01521, 0.7863
1.040, 0.0681, 0.01441, 0.7823
1.050, 0.0633, 0.01361, 0.7769
1.060, 0.0584, 0.01281, 0.7698
1.070, 0.0536, 0.01200, 0.7606
